Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Realized	Stressed	Function	Mono	Vowel	Vowel	DAVM90	1990	M	Educated	Service	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Vowel	DELF91	1991	F	Student	Student	t--Glottal Stop
Realized	Stressed	Function	Mono	Vowel	Vowel	DELF91	1991	F	Student	Student	t--Flap
Realized	Stressed	Function	Mono	Vowel	H	DONF15	1915	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	DONM53	1953	M	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	DONM58	1958	M	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	DONM58	1958	M	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	DOUF46	1946	F	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	DOUF46	1946	F	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	ELLF29	1929	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Consonant	ELLF61	1961	F	Educated	White	t--Glottal Stop
Realized	Stressed	Function	Mono	Vowel	Vowel	ELLF61	1961	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	EVAF92	1992	F	Student	Student	t--Glottal Stop
Realized	Stressed	Function	Mono	Vowel	Vowel	EVAF92	1992	F	Student	Student	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	FRAM93	1993	M	Student	Student	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	GARF37	1937	F	Not Educated	Service	t--T
Realized	Stressed	Function	Mono	Vowel	Vowel	GARF37	1937	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GARF87	1987	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GARM42	1942	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GARM42	1942	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GAVF93	1993	F	Student	Student	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GAVM90	1990	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GAVM90	1990	M	Not Educated	Blue	t--T
Realized	Stressed	Function	Mono	Vowel	Vowel	GOUM91	1991	M	Student	Student	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Vowel	GOUM91	1991	M	Student	Student	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Vowel	GREF22	1922	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GREF22	1922	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	GREM45	1945	M	Not Educated	Blue	t--Glottal Stop
